linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
steels-role-in-disaster-resilient-prefabricated-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.906; metaDescription: 0.958; categoryName: 1.0; timeDuration: 1.0,metaTitle (Similarity: 0.91); metaDescription (Similarity: 0.96),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to11__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to11__0""><a href=""#difflib_chg_to11__top"">t</a></td><td class=""diff_header"" id=""from11_1"">1</td><td nowrap=""nowrap"">steel&nbsp;s&nbsp;role&nbsp;in&nbsp;prefabricated&nbsp;buildings&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td><td class=""diff_next""><a href=""#difflib_chg_to11__top"">t</a></td><td class=""diff_header"" id=""to11_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>steel&nbsp;s&nbsp;role&nbsp;in&nbsp;prefabricated&nbsp;buildings&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;bl</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">og</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to12__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to12__0""><a href=""#difflib_chg_to12__top"">t</a></td><td class=""diff_header"" id=""from12_1"">1</td><td nowrap=""nowrap"">discover&nbsp;how&nbsp;steel&nbsp;s&nbsp;strength&nbsp;adaptability&nbsp;and&nbsp;sustainabilit</td><td class=""diff_next""><a href=""#difflib_chg_to12__top"">t</a></td><td class=""diff_header"" id=""to12_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>discover&nbsp;how&nbsp;steel&nbsp;s&nbsp;strength&nbsp;adaptability&nbsp;and&nbsp;sustaina</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">y&nbsp;drive&nbsp;disaster&nbsp;resilient&nbsp;structures&nbsp;learn&nbsp;about&nbsp;the&nbsp;materi</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">bility&nbsp;drive&nbsp;disaster&nbsp;resilient&nbsp;structures&nbsp;learn&nbsp;about&nbsp;the&nbsp;m</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">als&nbsp;used&nbsp;cost&nbsp;factors&nbsp;and&nbsp;advantages</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">aterials&nbsp;used&nbsp;cost&nbsp;factors&nbsp;and&nbsp;advantages</td></tr>
        </tbody>
    </table>"
how-steel-wire-rods-power-your-vehicles,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
understanding-uniform-gauge-and-dimension-in-tmt-bars,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-the-advantages-of-steel-in-seismic-resistant-industrial,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
best-practices-for-welding-steel-in-auto-parts-manufacturing,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
can-you-over-reinforce-concrete,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
advanced-steel-materials-and-their-role-in-fuel-efficiency,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
construction-versus-natural-disasters-how-do-tmt-bars-protect,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
steel-wire-rod-application-in-refrigerators,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
budget-2025-msmes-key-changes-and-strategic-insights,✅ Valid,content: 0.998; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
optimising-trade-and-cash-flow-for-msmes-with-off-balance-sheet-options,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
types-of-pillar-construction-techniques-and-materials-they-require,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-are-solar-panels-made,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
practical-tips-to-optimise-cash-rotation-for-msmes-in-the-steel-industry,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
tips-for-ensuring-high-quality-cement-plastering-work,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
cement-materials-and-manufacturing-process,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-are-the-advantages-and-uses-of-opc-cement,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
building-a-strong-foundation-using-rebar-in-concrete-footings,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
is-the-real-estate-industry-set-to-bounce-back-in-2022,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.932; metaDescription: 0.976; categoryName: 1.0; timeDuration: 1.0,metaTitle (Similarity: 0.93); metaDescription (Similarity: 0.98),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to13__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to13__0""><a href=""#difflib_chg_to13__top"">t</a></td><td class=""diff_header"" id=""from13_1"">1</td><td nowrap=""nowrap"">real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;bounce&nbsp;back&nbsp;in&nbsp;2022&nbsp;jsw&nbsp;one&nbsp;msm</td><td class=""diff_next""><a href=""#difflib_chg_to13__top"">t</a></td><td class=""diff_header"" id=""to13_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;bounce&nbsp;back&nbsp;in&nbsp;2022&nbsp;jsw&nbsp;on</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">e&nbsp;blog</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">e&nbsp;msme&nbsp;blog</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to14__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to14__0""><a href=""#difflib_chg_to14__top"">t</a></td><td class=""diff_header"" id=""from14_1"">1</td><td nowrap=""nowrap"">covid&nbsp;19&nbsp;greatly&nbsp;impacted&nbsp;the&nbsp;real&nbsp;estate&nbsp;sector&nbsp;and&nbsp;brought</td><td class=""diff_next""><a href=""#difflib_chg_to14__top"">t</a></td><td class=""diff_header"" id=""to14_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>covid&nbsp;19&nbsp;greatly&nbsp;impacted&nbsp;the&nbsp;real&nbsp;estate&nbsp;sector&nbsp;and&nbsp;br</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;growth&nbsp;to&nbsp;a&nbsp;sudden&nbsp;halt&nbsp;read&nbsp;on&nbsp;to&nbsp;know&nbsp;in&nbsp;detail&nbsp;about&nbsp;the</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ought&nbsp;growth&nbsp;to&nbsp;a&nbsp;sudden&nbsp;halt&nbsp;read&nbsp;on&nbsp;to&nbsp;know&nbsp;in&nbsp;detail&nbsp;abou</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;growth</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">t&nbsp;the&nbsp;real&nbsp;estate&nbsp;industry&nbsp;and&nbsp;its&nbsp;growth</td></tr>
        </tbody>
    </table>"
the-future-of-msmes-in-india-an-exploration,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
10-types-of-tests-on-cement-to-check-the-quality,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-advantages-of-peb-structures-for-industrial-applications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
comparison-of-wire-rod-and-other-materials-in-pre-stressed-concrete,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-car-sales-are-accelerating-the-steel-sector,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
colour-coated-steel-the-perfect-blend-of-aesthetics-and-sustainability,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-is-the-importance-of-proper-heat-treatment-in-steel-crankshaft,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
why-should-you-buy-steel-from-a-trusted-supplier,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 1.0,metaTitle (Similarity: 0.00); metaDescription (Similarity: 0.00),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to15__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to15__0""><a href=""#difflib_chg_to15__top"">t</a></td><td class=""diff_header"" id=""from15_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to15__top"">t</a></td><td class=""diff_header"" id=""to15_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;steel&nbsp;online&nbsp;industrial&nbsp;materials&nbsp;marketplace&nbsp;jsw&nbsp;one&nbsp;ms</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">me</span></td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to16__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to16__0""><a href=""#difflib_chg_to16__top"">t</a></td><td class=""diff_header"" id=""from16_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to16__top"">t</a></td><td class=""diff_header"" id=""to16_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;cemen</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">t&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;manufact</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">uring&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
industry-4-0-are-indian-msmes-all-set-for-the-next-wave-of-industrialization,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 0.0; timeDuration: 1.0,categoryName (Exact match required),,,
how-to-select-the-right-steel-for-your-project,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
innovative-steel-applications-for-lightweight-electric-vehicle-components,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.724; metaDescription: 0.958; categoryName: 1.0; timeDuration: 1.0,metaTitle (Similarity: 0.72); metaDescription (Similarity: 0.96),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to17__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to17__0""><a href=""#difflib_chg_to17__top"">t</a></td><td class=""diff_header"" id=""from17_1"">1</td><td nowrap=""nowrap"">the&nbsp;role&nbsp;of&nbsp;advanced&nbsp;steel&nbsp;in&nbsp;lightweight&nbsp;electric&nbsp;vehicle&nbsp;d</td><td class=""diff_next""><a href=""#difflib_chg_to17__top"">t</a></td><td class=""diff_header"" id=""to17_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>the&nbsp;role&nbsp;of&nbsp;advanced&nbsp;steel&nbsp;in&nbsp;lightweight&nbsp;electric&nbsp;vehi</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">esign<span class=""diff_sub"">&nbsp;jsw&nbsp;one&nbsp;msme</span></td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">cle&nbsp;design</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to18__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to18__0""><a href=""#difflib_chg_to18__top"">t</a></td><td class=""diff_header"" id=""from18_1"">1</td><td nowrap=""nowrap"">explore&nbsp;how&nbsp;advanced&nbsp;steel&nbsp;technologies&nbsp;are&nbsp;creating&nbsp;lightwe</td><td class=""diff_next""><a href=""#difflib_chg_to18__top"">t</a></td><td class=""diff_header"" id=""to18_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>explore&nbsp;how&nbsp;advanced&nbsp;steel&nbsp;technologies&nbsp;are&nbsp;creating&nbsp;li</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ight&nbsp;ev&nbsp;components&nbsp;boosting&nbsp;performance&nbsp;safety&nbsp;and&nbsp;eco&nbsp;frien</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ghtweight&nbsp;ev&nbsp;components&nbsp;boosting&nbsp;performance&nbsp;safety&nbsp;and&nbsp;eco&nbsp;</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">dliness&nbsp;in&nbsp;the&nbsp;race&nbsp;for&nbsp;greener&nbsp;transport</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">friendliness&nbsp;in&nbsp;the&nbsp;race&nbsp;for&nbsp;greener&nbsp;transport</td></tr>
        </tbody>
    </table>"
structural-steel-connections-bolted-vs-welded-joints-pros-cons-and,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-manage-cash-flow-effectively-in-slower-business-periods,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-get-the-perfect-mirror-finish-for-stainless-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-to-estimate-the-cost-of-structural-steel-fabrication,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-msmes-can-grow-their-customer-base-and-generate-leads-digitally,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
steel-ground-mounts-vs-roof-mounts-what-are-the-pros-and-cons,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
5-applications-of-welded-wire-mesh,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
iso-certification-9000-versus-9001-what-is-the-difference-iso-certifications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
microstructural-analysis-of-tmt-bars-for-better-tensile-strength,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
optimising-microstructure-in-hot-rolled-steel-for-springs,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-advantages-of-using-hot-rolled-steel-in-large-scale-peb-projects,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
storage-solutions-with-coated-gi-steel-benefits-and-applications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-importance-of-quality-control-in-peb-manufacturing,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
tips-on-using-steel-in-the-design-and-construction-of-durable-industrial,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
pre-engineered-steel-building-systems-vs-conventional-buildings,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
advantages-of-stainless-steel-for-fabrication-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 1.0,metaTitle (Similarity: 0.00); metaDescription (Similarity: 0.00),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to19__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to19__0""><a href=""#difflib_chg_to19__top"">t</a></td><td class=""diff_header"" id=""from19_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to19__top"">t</a></td><td class=""diff_header"" id=""to19_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;steel&nbsp;online&nbsp;industrial&nbsp;materials&nbsp;marketplace&nbsp;jsw&nbsp;one&nbsp;ms</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">me</span></td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to20__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to20__0""><a href=""#difflib_chg_to20__top"">t</a></td><td class=""diff_header"" id=""from20_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to20__top"">t</a></td><td class=""diff_header"" id=""to20_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;cemen</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">t&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;manufact</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">uring&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
difference-between-cold-rolled-and-cold-drawn-steel-applications-and-use,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
your-ultimate-guide-to-maintaining-concrete-structures,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
difference-between-hot-and-cold-rolled-steel,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
what-makes-galvalume-steel-ideal-during-monsoons,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
why-do-wire-rods-make-the-best-fasteners,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-economic-benefits-of-using-tmt-bars-in-infrastructure-projects,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
all-about-eclgs-credit-scheme-for-msmes-hit-by-the-covid-19-pandemic,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-tmt-steel-redefines-infrastructure-development,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
how-msmes-can-minimise-steel-waste-during-solar-panel-manufacturing,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
hot-rolled-steel-versatile-like-no-other,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
steel-sourcing-for-msmes-how-to-ensure-consistent-quality-for-auto-parts,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
importance-of-carbon-content-in-steel-for-industrial-applications,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
the-economics-of-using-fewer-tmt-bars-in-high-strength-construction-projects,✅ Valid,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 1.0,,,,
